Amide I,1640,1645,1655,1661,1664,1667,1670,1684,,,,,,,,,,,,,,,,
Amide II,1550,1555,1560,,,,,,,,,,,,,,,,,,,,,
Amide III,1204,1224,1260,1265,1268,1275,1280,1305,1318,1336,,,,,,,,,,,,,,
Co-Enzyme A,735,,,,,,,,,,,,,,,,,,,,,,,
Collagen,1204,1265,1340,1447,1452,,,,,,,,,,,,,,,,,,,
Cysteine,509,672,,,,,,,,,,,,,,,,,,,,,,
Cytosine (P),579,,,,,,,,,,,,,,,,,,,,,,,
Glutamic Acid,884,,,,,,,,,,,,,,,,,,,,,,,
Glycine,884,,,,,,,,,,,,,,,,,,,,,,,
Guanine,579,,,,,,,,,,,,,,,,,,,,,,,
Histidine,1087,,,,,,,,,,,,,,,,,,,,,,,
Hydroxyproline,876,880,884,1207,1210,,,,,,,,,,,,,,,,,,,
IgG,1204,1409,,,,,,,,,,,,,,,,,,,,,,
Lysine,1009,,,,,,,,,,,,,,,,,,,,,,,
Lysozyme,523,625,643,1354,1446,1554,,,,,,,,,,,,,,,,,,
Methionine,696,,,,,,,,,,,,,,,,,,,,,,,
Phenylalanine,620,621,622,625,643,650,999,1002,1003,1004,1009,1031,1032,1033,1170,1174,1176,1204,1449,1600,1603,1605,1606,1610
Proline,753,884,923,925,935,985,1204,,,,,,,,,,,,,,,,,
Proteins,523,622,723,732,853,920,1047,1049,1077,1084,1125,1280,1369,1440,1449,1667,,,,,,,,
Serine,807,,,,,,,,,,,,,,,,,,,,,,,
Tryptophan,549,579,735,755,757,758,760,878,880,884,1126,1127,1208,1369,1449,1548,1552,1554,1556,1560,,,,
Tyrosine,633,643,753,828,830,852,853,854,909,1009,1174,1176,1204,1206,1207,1210,1265,1272,1600,1603,1606,,,
Valine,884,,,,,,,,,,,,,,,,,,,,,,,
Adenine,622,723,732,735,,,,,,,,,,,,,,,,,,,,
Cytosine (N.A.),672,696,735,789,991,1527,,,,,,,,,,,,,,,,,,
Guanine,523,672,735,1369,1382,,,,,,,,,,,,,,,,,,,
Guanosine,668,,,,,,,,,,,,,,,,,,,,,,,
Hypoxanthine,963,,,,,,,,,,,,,,,,,,,,,,,
Thymine,523,735,789,1280,1369,,,,,,,,,,,,,,,,,,,
Uracil,789,1382,,,,,,,,,,,,,,,,,,,,,,
Cholesterol,607,702,,,,,,,,,,,,,,,,,,,,,,
Glycerol,607,,,,,,,,,,,,,,,,,,,,,,,
Phosphatidycholine,719,820,,,,,,,,,,,,,,,,,,,,,,
Phosphatidylinositol,775,,,,,,,,,,,,,,,,,,,,,,,
Phospholipids,450,719,1068,1130,1280,,,,,,,,,,,,,,,,,,,
Sphingomyelin,719,,,,,,,,,,,,,,,,,,,,,,,
Sphingophospholipids,903,,,,,,,,,,,,,,,,,,,,,,,
Carbohydrates,521,,,,,,,,,,,,,,,,,,,,,,,
Cellobiose,885,,,,,,,,,,,,,,,,,,,,,,,
D-glucose,423,923,925,1449,,,,,,,,,,,,,,,,,,,,
D-glucuronic Acid,1449,,,,,,,,,,,,,,,,,,,,,,,
D-mannose,1130,1449,,,,,,,,,,,,,,,,,,,,,,
Glucosamine,1046,,,,,,,,,,,,,,,,,,,,,,,
Glycine,1204,1664,,,,,,,,,,,,,,,,,,,,,,
Saccharides,450,,,,,,,,,,,,,,,,,,,,,,,
Sucrose,1126,,,,,,,,,,,,,,,,,,,,,,,
Unspecified Nucleic Acid,450,708,725,790,1077,1330,1339,1662,,,,,,,,,,,,,,,,
Unspecified Lipid,853,920,1062,1077,1125,1126,1129,1280,1369,1440,1447,1452,,,,,,,,,,,,
